;Arcada;Arabia;Itis;Sello;Kaari;Myyrmanni;Lauttis;Citycenter;Columbus;Lippulaiva;Redi;Dixi
Arcada;0;0.6;10.4;12.8;16.2;12.7;9.5;5.6;14.5;22.2;2.9;16.3
Arabia;0.6;0;10.2;12.7;8.3;12.5;9.3;5.4;14.4;22;2.7;16.1
Itis;10.8;10.7;0;18.5;13.4;17.9;16.4;11.5;4.2;33.8;8.9;13.6
Sello;13.6;13.4;18.8;0;6.4;9;11;14.5;22.9;17;13.8;19.2
Kaari;11.4;10.4;13.6;5.7;0;6.2;15;9.8;17.7;21;11.6;14.1
Myyrmanni;12.6;14.5;18;8.7;7.4;0;17.9;13.9;22.2;23.9;14.5;17.2
Lauttis;8.6;8.4;13.9;12.5;12.2;16.4;0;3.7;18.1;16;7.2;22.1
Citycenter;5.3;5.2;10.2;10.9;9.8;14;4.8;0;14.4;17.5;3.5;19.3
Columbus;14.8;14.6;4.1;22.5;17.4;21.9;20.3;15.4;0;37.7;12.8;15.4
Lippulaiva;22.1;22.5;33.8;16.8;21.4;23.9;13.7;17.3;37.9;0;20.7;34.2
Redi;2.8;3.2;7.5;16.9;11.8;16.3;8.9;4.3;11.8;21.6;0;18.1
Dixi;16;15.9;13.9;19;13.9;17.1;28.2;20.6;15.3;34.2;17.9;0
